date,home_team,away_team,target,home_goals,away_goals,tournament_weight,is_neutral,home_matches_played,home_goals_for_avg,home_goals_against_avg,home_goal_diff_avg,home_win_pct,home_draw_pct,home_loss_pct,home_recent_form,away_matches_played,away_goals_for_avg,away_goals_against_avg,away_goal_diff_avg,away_win_pct,away_draw_pct,away_loss_pct,away_recent_form,home_elo,away_elo,elo_diff,goal_diff_strength,h2h_home_wins,h2h_away_wins,h2h_draws
2018-03-23,Japan,Mali,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1706,1511,195,0.0,0,0,0
2018-03-23,Mexico,Iceland,0,3,0,1.0,false,1,1.0,0.0,1.0,1.0,0.0,0.0,0.6,2,4.994223837735343,0.5028880811323285,4.491335756603014,0.0,0.0,1.0,0.0,1854,1813,41,-3.4913357566030143,0,0,0
2018-03-23,Netherlands,England,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894,1932,-38,0.0,0,0,0
2018-03-23,Norway,Australia,0,4,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581,1729,-148,0.0,0,0,0
2018-03-23,Peru,Croatia,0,2,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881,1856,25,0.0,0,0,0
2018-03-23,Poland,Nigeria,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841,1696,145,0.0,0,0,0
2018-03-23,Portugal,Egypt,0,2,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994,1650,344,0.0,0,0,0
2018-03-23,Russia,Brazil,2,0,3,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696,2113,-417,0.0,0,0,0
2018-03-23,Scotland,Costa Rica,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719,1744,-25,0.0,0,0,0
2018-03-23,Senegal,Uzbekistan,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747,1611,136,0.0,0,0,0
2018-03-23,Serbia,Morocco,2,1,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783,1688,95,0.0,0,0,0
2018-03-23,Singapore,Maldives,0,3,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057,945,112,0.0,0,0,0
2018-03-23,Tunisia,Iran,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,4.0,1.0,0.0,0.0,0.6,1618,1802,-184,-4.0,0,0,0
2018-03-23,Türkiye,Republic of Ireland,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,1732,-21,0.0,0,0,0
2018-03-23,Ukraine,Saudi Arabia,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.9131021985551997,2.173795602889601,-0.2606934043344012,1.0,0.0,0.0,1.2,1738,1561,177,0.2606934043344012,0,0,0
2018-03-23,Uruguay,Czech Republic,0,2,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866,1712,154,0.0,0,0,0
2018-03-24,Angola,Zimbabwe,1,2,2,1.0,false,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1,2.0,2.0,0.0,0.0,1.0,0.0,0.2,1250,1467,-217,0.0,0,0,0
2018-03-24,Armenia,Estonia,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1480,1513,-33,0.0,0,0,0
2018-03-24,Botswana,Lesotho,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253,1266,-13,0.0,0,0,0
2018-03-24,Canada,New Zealand,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523,1524,-1,0.0,0,0,0
2018-03-24,Comoros,Kenya,1,2,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042,1394,-352,0.0,0,0,0
2018-03-24,Georgia,Lithuania,0,4,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482,1406,76,0.0,0,0,0
2018-03-24,Israel,Romania,2,1,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533,1687,-154,0.0,0,0,0
2018-03-24,Ivory Coast,Togo,1,2,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1601,1379,222,0.0,0,0,0
2018-03-24,Kosovo,Madagascar,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1370,1365,5,0.0,0,0,0
